prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2005,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,44,462,0,0,113,0,0,116,693
AOSTA,Aosta,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,24
VERCELLI,Piemonte,156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,0,0,4,0,0,0,32
NOVARA,Piemonte,324,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,48,0,0,6,0,0,0,75
CUNEO,Piemonte,515,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,105,0,0,16,0,0,1,146
ASTI,Piemonte,192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0,0,4,0,0,1,48
ALESSANDRIA,Piemonte,383,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,56,0,0,9,0,0,0,87
BIELLA,Piemonte,161,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,4,0,0,0,32
VERBANIA,Piemonte,143,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,24,0,0,5,0,0,0,40
GENOVA,Liguria,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1,0,0,0,0,0,0,191
LA SPEZIA,Liguria,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,89
IMPERIA,Liguria,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,41,0,0,0,0,0,0,89
SAVONA,Liguria,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,52,0,0,0,0,0,0,113
MILANO,Lombardia,2793,0,0,0,18,0,0,0,435,0,0,2,23,0,0,0,0,177,0,0,39,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,6,83,0,0,137,0,0,56,17,0,0,27,0,192,197,990
VARESE,Lombardia,775,0,0,0,4,0,0,0,44,0,0,0,7,0,0,0,0,46,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,1,0,9,0,0,27,0,0,24,7,0,0,4,0,0,0,170
COMO,Lombardia,522,0,0,0,2,0,0,0,36,0,0,0,6,0,0,0,0,35,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,109,0,0,5,0,0,19,0,0,13,0,0,0,10,0,7,2,180
SONDRIO,Lombardia,159,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,18,0,0,4,0,0,1,1,0,0,6,0,0,0,64
BERGAMO,Lombardia,952,0,0,0,1,0,0,0,71,0,0,278,3,0,0,0,0,83,0,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,21,0,0,15,2,0,0,9,0,0,0,382
BRESCIA,Lombardia,1089,0,0,0,9,0,0,0,67,0,0,5,3,2,0,0,0,116,0,0,26,350,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,18,0,0,35,2,0,0,8,0,2,3,483
PAVIA,Lombardia,484,0,0,0,1,0,0,0,48,0,0,0,2,0,0,0,0,27,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,4,0,0,22,0,0,9,6,0,0,4,0,1,1,180
CREMONA,Lombardia,316,0,0,0,7,0,0,0,14,0,0,0,3,2,0,0,0,43,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,120,0,2,0,0,6,0,0,4,1,0,0,2,0,1,1,144
MANTOVA,Lombardia,360,0,0,0,4,0,0,0,22,0,0,0,1,162,0,0,0,52,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,11,13,0,0,3,0,0,0,200
LECCO,Lombardia,295,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,7,0,0,5,0,0,0,0,0,0,6,0,1,1,76
LODI,Lombardia,199,0,0,0,2,0,0,0,19,0,0,0,1,0,0,0,0,22,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0,1,0,0,2,0,6,7,54
MONZA E DELLA BRIANZA,Lombardia,750,0,0,0,8,0,0,0,104,0,0,0,0,0,0,0,0,74,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0,0,42,0,0,23,3,0,0,18,0,38,41,282
TRENTO,Trentino,464,177,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
BOLZANO,Trentino,443,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
VENEZIA,Veneto,753,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,52,0,146,0,0,0,1,0,0,0,7,0,0,0,0,0,108,0,0,0,0,0,0,0,0,65,0,0,11,0,0,3,0,0,0,0,278
VERONA,Veneto,799,0,0,214,0,0,0,0,40,0,0,0,0,0,0,0,0,71,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,12,0,0,1,0,0,0,0,299
VICENZA,Veneto,750,0,0,2,0,0,0,1,31,0,0,0,0,0,0,0,0,71,0,15,0,0,0,227,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,15,0,0,1,0,0,0,0,291
BELLUNO,Veneto,184,0,0,1,0,0,0,50,4,0,0,0,0,0,0,0,0,19,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,85
ROVIGO,Veneto,215,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,77
TREVISO,Veneto,764,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,65,0,133,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,13,0,0,135,0,0,0,0,281
PADOVA,Veneto,817,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,62,0,91,0,0,0,13,0,0,0,171,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38,0,0,15,0,0,0,0,0,0,0,308
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,94,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,108
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,51,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,56
PORDENONE,Friuli,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,98,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,159
UDINE,Friuli,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,14,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,227
BOLOGNA,Emilia-Romagna,883,0,0,0,0,0,0,0,31,28,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,244,96,0,0,17,12,0,0,7,0,0,0,364
PIACENZA,Emilia-Romagna,253,0,0,0,0,0,0,0,15,1,0,0,0,0,0,4,0,23,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,5,1,0,0,2,0,0,0,135
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,0,23,4,0,0,0,0,0,6,99,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,25,0,0,8,7,0,0,1,0,0,0,201
MODENA,Emilia-Romagna,608,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,57,27,0,0,3,2,0,0,3,0,0,0,216
PARMA,Emilia-Romagna,392,0,0,0,0,0,0,0,24,1,0,0,0,0,0,155,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,3,0,0,3,0,0,0,189
FERRARA,Emilia-Romagna,315,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,66,12,0,0,7,2,0,0,10,0,0,0,142
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,26,0,0,5,25,0,0,13,0,0,0,136
FORLI',Emilia-Romagna,345,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,25,0,0,3,23,0,0,13,0,0,0,165
