prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
BOLOGNA,Emilia-Romagna,883,0,0,0,0,0,0,32,26,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,223,92,0,0,16,7,0,0,8,0,0,0,338
PIACENZA,Emilia-Romagna,253,0,0,0,0,0,0,13,1,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,2,0,0,0,130
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,25,3,0,0,0,0,0,9,98,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,57,21,0,0,4,6,0,0,1,0,0,0,194
MODENA,Emilia-Romagna,608,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,0,0,0,0,0,67,34,0,0,5,5,0,0,3,0,0,0,223
PARMA,Emilia-Romagna,392,0,0,0,0,0,0,19,2,0,0,0,0,0,153,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,2,0,0,3,0,0,0,191
FERRARA,Emilia-Romagna,315,0,0,0,0,0,0,9,8,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,61,12,0,0,4,2,0,0,8,0,0,0,123
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,34,0,0,7,27,0,0,8,0,0,0,147
FORLI',Emilia-Romagna,345,0,0,0,0,0,0,9,12,0,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,26,0,0,4,23,0,0,12,0,0,0,160
RIMINI,Emilia-Romagna,292,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,24,0,0,5,18,0,0,11,0,0,0,127
FIRENZE,Toscana,890,0,0,0,0,0,0,33,32,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,78,0,0,0,0,40,0,8,0,0,0,314
MASSA CARRARA,Toscana,176,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,5,0,0,0,0,24,0,3,0,0,0,61
LUCCA,Toscana,346,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,17,0,0,0,0,86,0,9,0,0,0,141
LIVORNO,Toscana,300,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,103,0,4,0,0,0,129
PISA,Toscana,369,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,16,0,0,0,0,107,0,4,0,0,0,162
GROSSETO,Toscana,199,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,9,0,0,0,0,53,0,9,0,0,0,85
PISTOIA,Toscana,257,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,6,0,0,0,0,40,0,4,0,0,0,95
AREZZO,Toscana,304,0,0,0,0,0,0,5,11,33,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,12,0,0,0,0,0,0,6,0,0,0,109
SIENA,Toscana,237,0,0,0,0,0,0,4,11,24,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,10,0,0,0,0,0,0,2,0,0,0,77
PRATO,Toscana,219,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,14,0,0,0,0,33,0,2,0,0,0,86
ANCONA,Marche,417,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,146
PESARO URBINO,Marche,316,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,140
MACERATA,Marche,281,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,115
ASCOLI PICENO,Marche,186,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,82
FERMO,Marche,155,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,65
PERUGIA,Umbria,580,0,0,0,0,0,0,0,38,125,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,221
TERNI,Umbria,204,0,0,0,0,0,0,0,16,41,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64
ROMA,Lazio,3774,0,0,0,0,0,0,171,342,1,0,56,0,0,0,0,93,0,0,49,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,74,0,0,0,43,0,385,371,1413
VITERBO,Lazio,283,0,0,0,0,0,0,5,28,55,0,2,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,2,0,0,2,90
RIETI,Lazio,141,0,0,0,0,0,0,2,14,17,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,5,0,1,3,46
LATINA,Lazio,500,0,0,0,0,0,0,5,21,0,0,1,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,4,0,1,1,77
FROSINONE,Lazio,436,0,0,0,0,0,0,10,25,0,0,2,0,0,0,0,20,0,0,8,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,5,0,0,0,84
L'AQUILA,Abruzzo,269,0,0,0,0,78,0,0,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
TERAMO,Abruzzo,273,0,0,0,0,58,0,0,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
PESCARA,Abruzzo,282,0,0,0,0,72,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
CHIETI,Abruzzo,345,0,0,0,0,69,0,0,13,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
CAMPOBASSO,Molise,201,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ISERNIA,Molise,77,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
NAPOLI,Campania,2650,0,0,0,0,0,0,90,139,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,632
CASERTA,Campania,789,0,0,0,0,0,0,15,64,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,177
BENEVENTO,Campania,248,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,62
AVELLINO,Campania,375,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,98
SALERNO,Campania,964,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,184
BARI,Puglia,1103,0,0,0,0,0,0,15,24,0,0,0,0,139,0,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,14,0,0,0,232
FOGGIA,Puglia,546,0,0,0,0,0,0,18,17,0,0,0,0,80,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,138
TARANTO,Puglia,511,0,0,0,0,0,0,16,16,0,0,0,0,48,0,0,33,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,56,0,0,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,139
BRINDISI,Puglia,350,0,0,0,0,0,0,9,11,0,0,0,0,37,0,0,31,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,59,0,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,110
LECCE,Puglia,708,0,0,0,0,0,0,14,15,0,0,0,0,31,0,0,27,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,97,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,165
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,9,11,0,0,0,0,45,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,69
POTENZA,Basilicata,331,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
REGGIO CALABRIA,Sicilia,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
COSENZA,Sicilia,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
CROTONE,Sicilia,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
PALERMO,Sicilia,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,7,0,0,0,0,0,0,0,0,194
TRAPANI,Sicilia,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,62
AGRIGENTO,Sicilia,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,65
CALTANISSETTA,Sicilia,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,0,0,0,0,0,0,0,0,71
ENNA,Sicilia,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,49
RAGUSA,Sicilia,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,70
SIRACUSA,Sicilia,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43,0,0,0,0,0,0,0,0,65
MESSINA,Sicilia,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,78,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,112
CATANIA,Sicilia,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,168,0,0,0,0,0,0,0,0,204
CAGLIARI,Sardegna,499,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,197
SASSARI,Sardegna,297,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,115
NUORO,Sardegna,139,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,72
ORISTANO,Sardegna,146,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,66
OLBIA-TEMPIO,Sardegna,141,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,51
OGLIASTRA,Sardegna,51,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,23
MEDIO CAMPIDANO,Sardegna,89,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,31
CARBONIA-IGLESIAS,Sardegna,115,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,40
