prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2000,0,0,0,0,0,0,0,26,42,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,411,0,0,124,0,561
AOSTA,Aosta,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,1,0,21
VERCELLI,Piemonte,154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,2,0,36
NOVARA,Piemonte,325,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,45,0,0,7,0,76
CUNEO,Piemonte,515,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,133,0,0,31,0,165
ASTI,Piemonte,191,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,6,0,43
ALESSANDRIA,Piemonte,380,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,69,0,0,9,0,104
BIELLA,Piemonte,159,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,0,30
VERBANIA,Piemonte,142,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,3,0,39
GENOVA,Liguria,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,211,0,0,18,0,0,0,0,280
LA SPEZIA,Liguria,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,2,0,0,0,0,75
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,0,0,35,0,0,0,0,82
SAVONA,Liguria,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,0,0,57,0,0,0,0,106
MILANO,Lombardia,2822,0,0,0,16,0,0,0,360,22,0,1,0,0,0,0,0,200,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107,0,0,127,0,0,49,0,0,0,34,0,726
VARESE,Lombardia,777,0,0,0,10,0,0,0,54,5,0,0,0,0,0,0,0,57,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17,0,0,10,0,0,0,8,0,147
COMO,Lombardia,523,0,0,0,7,0,0,0,24,3,0,0,0,0,0,0,0,39,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,5,0,0,0,7,0,95
SONDRIO,Lombardia,159,0,0,0,3,0,0,0,10,2,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,0,0,3,0,0,0,6,0,55
BERGAMO,Lombardia,959,0,0,0,11,0,0,0,49,7,0,399,0,0,0,0,0,165,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,20,0,0,0,17,0,482
BRESCIA,Lombardia,1092,0,0,0,15,0,0,0,73,9,0,0,0,1,0,0,0,168,0,0,11,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,31,0,0,23,0,0,0,20,0,520
PAVIA,Lombardia,483,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,10,0,0,10,0,0,10,0,0,0,2,0,174
CREMONA,Lombardia,315,0,0,0,3,0,0,0,24,0,0,0,0,1,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,4,0,0,0,0,0,72
MANTOVA,Lombardia,360,0,0,0,2,0,0,0,28,1,0,0,0,146,0,0,0,37,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,4,0,0,0,1,0,178
LECCO,Lombardia,296,0,0,0,2,0,0,0,16,1,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,0,0,0,3,0,39
LODI,Lombardia,200,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,1,0,0,0,0,0,37
MONZA E DELLA BRIANZA,Lombardia,757,0,0,0,4,0,0,0,75,4,0,1,0,0,0,0,0,52,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,20,0,0,13,0,0,0,6,0,183
TRENTO,Trentino,467,162,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
BOLZANO,Trentino,450,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
VENEZIA,Veneto,754,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,41,0,139,0,0,0,0,0,0,7,0,0,0,0,0,118,0,0,0,0,0,0,27,0,0,0,0,0,7,0,0,260
VERONA,Veneto,802,0,0,209,0,0,0,0,26,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,260
VICENZA,Veneto,751,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,23,0,9,0,0,0,169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,216
BELLUNO,Veneto,183,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,13,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,75
ROVIGO,Veneto,212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,68
