prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2000,0,0,0,0,0,0,0,28,42,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,416,0,0,127,0,569
AOSTA,Aosta,111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,1,0,22
VERCELLI,Piemonte,154,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,2,0,37
NOVARA,Piemonte,325,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,45,0,0,7,0,77
CUNEO,Piemonte,515,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,133,0,0,31,0,167
ASTI,Piemonte,191,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,6,0,44
ALESSANDRIA,Piemonte,380,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,69,0,0,9,0,106
BIELLA,Piemonte,159,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,0,30
VERBANIA,Piemonte,142,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,3,0,39
GENOVA,Liguria,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,212,0,0,18,0,0,0,0,282
LA SPEZIA,Liguria,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,2,0,0,0,0,75
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,0,0,37,0,0,0,0,85
SAVONA,Liguria,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,0,0,57,0,0,0,0,106
MILANO,Lombardia,2822,0,0,0,16,0,0,0,393,25,0,1,26,0,0,0,0,204,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,108,0,0,146,0,0,61,0,0,0,36,0,767
VARESE,Lombardia,777,0,0,0,10,0,0,0,58,5,0,0,2,0,0,0,0,59,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,17,0,0,12,0,0,0,8,0,154
COMO,Lombardia,523,0,0,0,7,0,0,0,26,3,0,0,4,0,0,0,0,40,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,7,0,0,0,9,0,98
SONDRIO,Lombardia,159,0,0,0,3,0,0,0,10,2,0,0,1,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,3,0,0,0,6,0,56
BERGAMO,Lombardia,959,0,0,0,12,0,0,0,54,7,0,401,3,0,0,0,0,167,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,23,0,0,0,17,0,490
BRESCIA,Lombardia,1092,0,0,0,15,0,0,0,80,9,0,0,5,2,0,0,0,168,0,0,11,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,32,0,0,25,0,0,0,20,0,531
PAVIA,Lombardia,483,0,0,0,2,0,0,0,21,0,0,0,2,0,0,0,0,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,10,0,0,11,0,0,10,0,0,0,2,0,176
CREMONA,Lombardia,315,0,0,0,3,0,0,0,25,0,0,0,1,1,0,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,4,0,0,0,0,0,73
MANTOVA,Lombardia,360,0,0,0,2,0,0,0,31,1,0,0,2,148,0,0,0,37,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,4,0,0,0,1,0,180
LECCO,Lombardia,296,0,0,0,2,0,0,0,17,1,0,0,1,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,2,0,0,0,3,0,40
LODI,Lombardia,200,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,1,0,0,0,0,0,37
MONZA E DELLA BRIANZA,Lombardia,757,0,0,0,6,0,0,0,84,4,0,1,3,0,0,0,0,52,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,0,0,13,0,0,0,6,0,193
TRENTO,Trentino,467,164,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
BOLZANO,Trentino,450,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
VENEZIA,Veneto,754,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,42,0,146,0,0,0,0,0,0,7,0,0,0,0,0,119,0,0,0,0,0,0,27,0,0,7,0,0,7,0,0,267
VERONA,Veneto,802,0,0,216,0,0,0,0,32,0,0,0,0,0,0,0,0,45,0,1,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,18,0,0,0,0,0,271
VICENZA,Veneto,751,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,26,0,9,0,0,0,174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,0,0,222
BELLUNO,Veneto,183,0,0,0,0,0,0,52,4,0,0,0,0,0,0,0,0,13,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,76
ROVIGO,Veneto,212,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,69
TREVISO,Veneto,770,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,39,0,105,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,9,0,0,117,0,0,223
PADOVA,Veneto,820,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,58,0,103,0,0,0,5,0,0,192,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,18,0,0,2,0,0,304
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,100
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,53
PORDENONE,Friuli,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,61,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
UDINE,Friuli,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,23,0,0,0,0,0,0,0,0,162,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,202
BOLOGNA,Emilia-Romagna,889,0,0,0,0,0,0,0,32,31,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,160,83,0,0,12,5,0,0,16,0,279
PIACENZA,Emilia-Romagna,253,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,2,0,0,0,0,139
REGGIO EMILIA,Emilia-Romagna,460,0,0,0,0,0,0,0,20,1,0,0,0,0,0,3,119,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,30,0,0,1,2,0,0,1,0,200
MODENA,Emilia-Romagna,610,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,108,0,0,0,0,0,0,0,88,31,0,0,4,2,0,0,2,0,231
PARMA,Emilia-Romagna,394,0,0,0,0,0,0,0,24,1,0,0,0,0,0,165,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,1,0,0,2,0,205
FERRARA,Emilia-Romagna,311,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,72,6,0,0,3,1,0,0,1,0,126
RAVENNA,Emilia-Romagna,345,0,0,0,0,0,0,0,21,10,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,129,24,0,0,7,15,0,0,10,0,178
FORLI',Emilia-Romagna,345,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,20,0,0,11,29,0,0,9,0,178
RIMINI,Emilia-Romagna,295,0,0,0,0,0,0,0,26,29,0,0,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,24,0,0,6,31,0,0,12,0,170
FIRENZE,Toscana,893,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,79,0,0,0,0,20,0,0,0,242
MASSA CARRARA,Toscana,175,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,33,0,0,0,57
LUCCA,Toscana,345,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,4,0,0,0,0,44,0,0,0,99
LIVORNO,Toscana,299,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0,0,90,0,0,0,114
PISA,Toscana,370,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,9,0,0,0,0,78,0,0,0,132
GROSSETO,Toscana,199,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,43,0,0,0,65
PISTOIA,Toscana,258,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,17,0,0,0,0,43,0,0,0,96
AREZZO,Toscana,304,0,0,0,0,0,0,0,9,0,35,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,13,0,0,0,0,0,0,0,0,125
SIENA,Toscana,237,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,9,0,0,0,0,0,0,0,0,69
PRATO,Toscana,222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,6,0,0,0,0,26,0,0,0,74
ANCONA,Marche,416,0,0,0,0,0,93,0,15,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,47,13,0,0,0,0,0,0,0,0,136
PESARO URBINO,Marche,316,0,0,0,0,0,55,0,26,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,155,25,0,0,0,0,0,0,0,0,183
MACERATA,Marche,278,0,0,0,0,0,49,0,13,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,63,7,0,0,0,0,0,0,0,0,112
ASCOLI PICENO,Marche,185,0,0,0,0,0,37,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,66
FERMO,Marche,154,0,0,0,0,0,42,0,9,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,38,4,0,0,0,0,0,0,0,0,78
PERUGIA,Umbria,578,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,209
TERNI,Umbria,202,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,68
ROMA,Lazio,3798,0,0,0,0,0,0,0,176,327,15,0,49,0,0,0,0,103,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,319,0,0,75,0,0,0,32,0,1118
VITERBO,Lazio,282,0,0,0,0,0,0,0,5,28,84,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,3,0,115
RIETI,Lazio,140,0,0,0,0,0,0,0,3,13,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,41
LATINA,Lazio,502,0,0,0,0,0,0,0,25,47,0,0,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,8,0,128
FROSINONE,Lazio,433,0,0,0,0,0,0,0,11,30,0,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,9,0,97
L'AQUILA,Abruzzo,267,0,0,0,0,66,0,0,0,20,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TERAMO,Abruzzo,272,0,0,0,0,59,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
PESCARA,Abruzzo,280,0,0,0,0,57,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
CHIETI,Abruzzo,343,0,0,0,0,47,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
